,US_10Y,PH_10Y
1/31/2001,5.112,16.289
2/28/2001,4.904,14.893
3/30/2001,4.911,14.661
4/30/2001,5.336,15.75
5/31/2001,5.379,15.021
6/29/2001,5.365,15.175
7/31/2001,5.044,15.748
8/31/2001,4.84,15.773
9/28/2001,4.582,15.922
10/31/2001,4.244,17.616
11/30/2001,4.75,15.729
12/31/2001,5.029,15.53
1/31/2002,5.033,14.369
2/28/2002,4.874,14.496
3/29/2002,5.402,14.406
4/30/2002,5.089,13.071
5/31/2002,5.045,13.361
6/28/2002,4.809,13.085
7/31/2002,4.459,12.594
8/30/2002,4.13,12.75
9/30/2002,3.6,12.433
10/31/2002,3.894,12.849
11/29/2002,4.211,12.429
12/31/2002,3.815,12.567
1/31/2003,3.966,12.304
2/28/2003,3.692,12.99
3/31/2003,3.802,12.917
4/30/2003,3.84,12.986
5/30/2003,3.37,11.536
6/30/2003,3.521,11.688
7/31/2003,4.41,11.58
8/29/2003,4.463,11.922
9/30/2003,3.943,11.558
10/31/2003,4.297,11.268
11/28/2003,4.33,11.723
12/31/2003,4.253,11.793
1/30/2004,4.135,11.642
2/27/2004,3.978,13.133
3/31/2004,3.84,12.632
4/30/2004,4.504,12.028
5/31/2004,4.657,12.643
6/30/2004,4.599,12.928
7/30/2004,4.484,12.68
8/31/2004,4.125,13.443
9/30/2004,4.123,13.398
10/29/2004,4.029,13.586
11/30/2004,4.36,13.685
12/31/2004,4.223,13.867
1/31/2005,4.13,12.493
2/28/2005,4.368,12.462
3/31/2005,4.493,12.275
4/29/2005,4.199,12.112
5/31/2005,3.986,11.997
6/30/2005,3.919,12.033
7/29/2005,4.282,12.235
8/31/2005,4.015,12.025
9/30/2005,4.33,11.957
10/31/2005,4.562,11.907
11/30/2005,4.496,10.882
12/30/2005,4.395,10.193
1/31/2006,4.525,9.828
2/28/2006,4.549,9.1
3/31/2006,4.853,7.838
4/28/2006,5.067,7.443
5/31/2006,5.116,10.059
6/30/2006,5.14,10.302
7/31/2006,4.991,9.873
8/31/2006,4.732,9.1
9/29/2006,4.634,8.261
10/31/2006,4.607,7.676
11/30/2006,4.46,6.7
12/29/2006,4.704,6.38
1/31/2007,4.821,7.012
2/28/2007,4.554,6.825
3/30/2007,4.652,7.171
4/30/2007,4.627,7.252
5/31/2007,4.892,7.037
6/29/2007,5.028,7.423
7/31/2007,4.738,7.473
8/31/2007,4.532,7.875
9/28/2007,4.587,7.154
10/31/2007,4.473,7.077
11/30/2007,3.959,6.97
12/31/2007,4.032,6.583
1/31/2008,3.619,6.098
2/29/2008,3.524,7.069
3/31/2008,3.411,7.267
4/30/2008,3.734,8.583
5/30/2008,4.065,8.929
6/30/2008,3.973,9.429
7/31/2008,3.952,9.661
8/29/2008,3.827,8.06
9/30/2008,3.829,8.14
10/31/2008,3.974,9.477
11/28/2008,2.924,9.452
12/31/2008,2.219,7.437
1/30/2009,2.854,7.492
2/27/2009,3.017,8.077
3/31/2009,2.668,8.156
4/30/2009,3.115,8.127
5/29/2009,3.461,7.948
6/30/2009,3.537,8.113
7/31/2009,3.482,8.01
8/31/2009,3.403,7.977
9/30/2009,3.305,8.027
10/30/2009,3.388,7.95
11/30/2009,3.2,7.927
12/31/2009,3.837,8.111
1/29/2010,3.584,8.092
2/26/2010,3.617,7.985
3/31/2010,3.833,8.04
4/30/2010,3.659,8.111
5/31/2010,3.303,8.004
6/30/2010,2.935,7.929
7/30/2010,2.905,7.598
8/31/2010,2.47,6.937
9/30/2010,2.512,6.233
10/29/2010,2.603,5.958
11/30/2010,2.797,6.004
12/31/2010,3.288,6.1
1/31/2011,3.374,7.196
2/28/2011,3.422,7.41
3/31/2011,3.468,7.206
4/29/2011,3.29,6.454
5/31/2011,3.059,6.579
6/30/2011,3.16,6.558
7/29/2011,2.793,6.307
8/31/2011,2.234,5.924
9/30/2011,1.917,6.275
10/31/2011,2.116,5.983
11/30/2011,2.072,5.884
12/30/2011,1.876,5.413
1/31/2012,1.795,5.39
2/29/2012,1.974,5.217
3/30/2012,2.214,5.796
4/30/2012,1.919,5.786
5/31/2012,1.563,6.05
6/29/2012,1.643,5.919
7/31/2012,1.47,5.119
8/31/2012,1.548,5.03
9/28/2012,1.633,4.896
10/31/2012,1.694,5.107
11/30/2012,1.613,5.038
12/31/2012,1.757,4.4
1/31/2013,1.985,4.242
2/28/2013,1.881,3.866
3/29/2013,1.852,3.529
4/30/2013,1.673,3.481
5/31/2013,2.132,3.54
6/28/2013,2.474,4.277
7/31/2013,2.588,3.765
8/30/2013,2.789,3.75
9/30/2013,2.615,3.844
10/31/2013,2.543,3.633
11/29/2013,2.741,3.652
12/31/2013,3.006,3.804
1/31/2014,2.666,4.28
2/28/2014,2.66,4.346
3/31/2014,2.719,4.456
4/30/2014,2.646,4.406
5/30/2014,2.475,4.144
6/30/2014,2.532,4.167
7/31/2014,2.561,4.208
8/29/2014,2.345,4.338
9/30/2014,2.495,4.347
10/31/2014,2.335,4.113
11/28/2014,2.173,4.144
12/31/2014,2.17,4.371
1/30/2015,1.639,4.034
2/27/2015,1.996,3.954
3/31/2015,1.927,4.061
4/30/2015,2.035,4.313
5/29/2015,2.123,4.347
6/30/2015,2.349,4.355
7/31/2015,2.187,4.185
8/31/2015,2.214,4.36
9/30/2015,2.035,3.799
10/30/2015,2.146,3.72
11/30/2015,2.208,4.07
12/31/2015,2.275,4.1
