,olf,policy,loans_ukb,loans_gth_ukb,loans_pbs,loans_gth_pbs,yield_ukb,cof_ukb,nim_ukb,yield_pbs,cof_pbs,nim_pbs,deposits_ukb,deposits_pbs,real_gdp,gdp_gth,t10yr,t91day,t5yr
Jan-98,,,,,,,,,,,,,,,,,,19.098,
Feb-98,,,,,,,,,,,,,,,,,,17.789,
Mar-98,,,,,,,,,,,,,,,1567553.343,,,16.597,19.647
Apr-98,,,,,,,,,,,,,,,,,,15.202,
May-98,,,,,,,,,,,,,,,,,18.346,14.377,
Jun-98,,,,,,,,,,,,,,,1580092.866,,,14.004,20.745
Jul-98,,,,,,,,,,,,,,,,,,14.667,
Aug-98,,,,,,,,,,,,,,,,,20.028,14.085,
Sep-98,,,,,,,,,,,,,,,1579892.317,,,13.822,19.673
Oct-98,,,,,,,,,,,,,,,,,,13.528,
Nov-98,,,,,,,,,,,,,,,,,17.8,13.451,
Dec-98,,,,,,,,,,,,,,,1747866.753,,,13.43,15.975
Jan-99,,,,,,,,,,,,,,,,,,13.239,
Feb-99,,,,,,,,,,,,,,,,,16.347,12.731,
Mar-99,,,,,,,,,,,,,,,1581132.243,0.008662481,,12.136,13.925
Apr-99,,,,,,,,,,,,,,,,,,10.85,
May-99,,,,,,,,,,,,,,,,,14.572,9.96,
Jun-99,,,,,,,,,,,,,,,1634431.656,0.034389618,,9.258,
Jul-99,,,,,,,,,,,,,,,,,,8.429,13.528
Aug-99,,,,,,,,,,,,,,,,,14.751,8.447,
Sep-99,,,,,,,,,,,,,,,1639984.852,0.038035842,15.416,8.574,
Oct-99,,,,,,,,,,,,,,,,,15.033,8.577,14.13
Nov-99,,,,,,,,,,,,,,,,,14.969,8.858,14.15
Dec-99,,,,,,,,,,,,,,,1836552.804,0.050739595,14.792,8.895,13.966
Jan-00,,,,,,,,,,,,,,,,,,8.914,13.64
Feb-00,,,,,,,,,,,,,,,,,14.645,8.849,13.382
Mar-00,,,,,,,,,,,,,,,1653296.014,0.045640566,,8.943,13.466
Apr-00,,,,,,,,,,,,,,,,,13.772,8.759,12.663
May-00,,,,,,,,,,,,,,,,,14.2,8.8,13.162
Jun-00,,,,,,,,,,,,,,,1729789.41,0.058343066,14.035,8.906,12.956
Jul-00,,,,,,,,,,,,,,,,,14.436,8.898,13.425
Aug-00,,,,,,,,,,,,,,,,,14.563,8.926,
Sep-00,,,,,,,,,,,,,,,1709412.903,0.042334568,,9.142,13.905
Oct-00,,,,,,,,,,,,,,,,,,9.409,
Nov-00,,,,,,,,,,,,,,,,,,15.797,
Dec-00,,,,,,,,,,,,,,,1892884.913,0.030672742,17.353,13.609,16.553
Jan-01,,,,,,,,,,,,,,,,,17.298,12.228,15.312
Feb-01,,,,,,,,,,,,,,,,,,10.613,
Mar-01,,,,,,,,,,,,,,,1693208.839,0.024141366,,9.734,
Apr-01,,,,,,,,,,,,,,,,,,9.898,
May-01,,,,,,,,,,,,,,,,,,9.49,13.991
Jun-01,,,,,,,,,,,,,,,1786322.123,0.032681847,,8.756,
Jul-01,,,,,,,,,,,,,,,,,,8.878,14.095
Aug-01,,,,,,,,,,,,,,,,,,9.508,14.836
Sep-01,,,,,,,,,,,,,,,1762583.28,0.031104467,,9.505,14.873
Oct-01,,,,,,,,,,,,,,,,,16.217,9.773,15.235
Nov-01,,,,,,,,,,,,,,,,,,9.545,13.085
Dec-01,,7.75,1399235.6,,,,,,,,,,,,1956269.495,0.033485703,,8.882,13.417
Jan-02,,7.5,1381403.8,,,,,,,,,,,,,,,7.884,11.503
Feb-02,,7.25,1402009,,,,,,,,,,,,,,,7.185,12.916
Mar-02,,7,1412193.6,,,,,,,,,,,,1758846.778,0.038765413,,6.371,11.865
Apr-02,,7,1418026.1,,,,,,,,,,,,,,12.874,4.692,12.908
May-02,,7,1414431.8,,,,,,,,,,,,,,,4.407,10.19
Jun-02,,7,1373799.8,,,,,,,,,,,,1851704.774,0.036601826,,4.778,
Jul-02,,7,1384067.7,,,,,,,,,,,,,,,4.77,10.68
Aug-02,,7,1376037.6,,,,,,,,,,,,,,,4.928,11.638
Sep-02,,7,1414757.7,,,,,,,,,,,,1809766.984,0.026769631,,5.213,11.298
Oct-02,,7,1419300.1,,,,,,,,,,,,,,11.93,5.282,10.894
Nov-02,,7,1428089,,,,,,,,,,,,,,,5.257,10.707
Dec-02,,7,1432662.7,0.024,,,,,,,,,,,2045575.494,0.045651174,,5.164,
Jan-03,,7,1441945.2,0.044,,,,,,,,,,,,,,5.181,10.677
Feb-03,,7,1463784.4,0.044,,,,,,,,,,,,,,5.672,
Mar-03,,7,1457088.5,0.032,,,,,,,,,,,1840078.735,0.046184783,12.672,6.167,12.162
Apr-03,,7,1459922.8,0.03,,,,,,,,,,,,,,7.346,11.642
May-03,,7,1462867.3,0.034,,,,,,,,,,,,,11.692,6.572,10.078
Jun-03,,7,1443518.8,0.051,,,,,,,,,,,1932975.618,0.043889742,11.351,5.582,
Jul-03,,6.75,1434735.2,0.037,,,,,,,,,,,,,,5.243,9.749
Aug-03,,6.75,1428818,0.038,,,,,,,,,,,,,,5.225,
Sep-03,,6.75,1469911.1,0.039,,,,,,,,,,,1909700.664,0.055219087,,5.325,10.018
Oct-03,,6.75,1430004.3,0.008,,,,,,,,,,,,,10.91,5.662,
Nov-03,,6.75,1488804.7,0.043,,,,,,,,,,,,,,6.439,10.568
Dec-03,,6.75,1487746.6,0.038,,,,,,,,,,,2162922.408,0.05736621,,,
Jan-04,,6.75,1448450.1,0.005,,,,,,,,,,,,,,6.203,10.783
Feb-04,,6.75,1439251.1,-0.017,,,,,,,,,,,,,,6.326,10.87
Mar-04,,6.75,1464922.3,0.005,,,,,,,,,,,1972127.625,0.07176263,12.119,7.616,
Apr-04,,6.75,1472732.3,0.009,,,,,,,,,,,,,,7.41,11.996
May-04,,6.75,1487929.5,0.017,,,,,,,,,,,,,,7.084,
Jun-04,,6.75,1497930.5,0.038,,,,,,,,,,,2077811.693,0.074929075,,7.394,11.926
Jul-04,,6.75,1486957.1,0.036,,,,,,,,,,,,,12.585,7.556,11.472
Aug-04,,6.75,1507567.7,0.055,,,,,,,,,,,,,,7.151,11.806
Sep-04,,6.75,1497434.1,0.019,,,,,,,,,,,2029118.986,0.062532482,,7.614,11.594
Oct-04,,6.75,1480977.1,0.036,,,,,,,,,,,,,11.641,7.826,12.294
Nov-04,,6.75,1542826.8,0.036,,,,,,,,,,,,,,7.872,
Dec-04,,6.75,1525948.8,0.026,,,,,,,,,,,2282019.601,0.055063091,,7.79,12.45
Jan-05,,6.75,1511735.7,0.044,,,,,,,,,,,,,,7.655,11.418
Feb-05,,6.75,1524985.6,0.06,,,,,,,,,,,,,12.153,6.779,
Mar-05,,6.75,1543532.3,0.054,,,,,,,,,,,2071139.873,0.050205802,,6.615,
Apr-05,,7,1536437.5,0.043,,,,,,,,,,,,,,6.628,11.445
May-05,,7,1590337.6,0.069,,,,,,,,,,,,,,6.103,10.936
Jun-05,,7,1593386.9,0.064,,,,,,,,,,,2195368.688,0.05657731,11.76,5.804,10.876
Jul-05,,7,1545884.3,0.04,,,,,,,,,,,,,,5.717,10.743
Aug-05,,7,1557817,0.033,,,,,,,,,,,,,11.732,5.618,10.293
Sep-05,,7.25,1505367.6,0.005,,,,,,,,,,,2117984.699,0.04379522,,5.797,10.861
Oct-05,,7.5,1499543,0.013,,,,,,,,,,,,,,5.859,
Nov-05,,7.5,1574573,0.021,,,,,,,,,,,,,,5.389,
Dec-05,,7.5,1539405.6,0.009,,,,,,,,,,,2389831.347,0.047244005,10.083,,9.363
Jan-06,,7.5,1557404.804,0.03,,,,,,,,,,,,,9.182,4.912,
Feb-06,,7.5,1561336.422,0.024,,,,,,,,,,,,,8.957,5.156,
Mar-06,,7.5,1535743.696,-0.005,,,,,,,,,,,2164381.215,0.045019336,7.515,4.998,8.299
Apr-06,,7.5,1555687.034,0.013,,,,,,,,,,,,,6.987,4.736,
May-06,,7.5,1607444.821,0.011,,,,,,,,,,,,,,4.84,
Jun-06,,7.5,1583872.694,-0.006,,,,,,,,,,,2325314.094,0.059190699,,6.5,10.577
Jul-06,,7.5,1612223.472,0.043,,,,,,,,,,,,,,6.076,
Aug-06,,7.5,1597179.727,0.025,,,,,,,,,,,,,,5.403,8.424
Sep-06,,7.5,1597084.692,0.061,,,,,,,,,,,2217592.682,0.047029605,8.605,5.444,
Oct-06,,7.5,1665422.887,0.111,,,,,,,,,,,,,,5.469,7.28
Nov-06,,7.5,1681775.722,0.068,,,,,,,,,,,,,6.169,4.837,5.729
Dec-06,,7.5,1695286.672,0.101,,,,,,,,,,,2533516.285,0.060123464,,,
Jan-07,,7.5,1683496.1,0.081,,,,,,,,,,,,,6.518,3.483,
Feb-07,,7.5,1660920,0.064,,,,,,,,,,,,,,2.936,5.679
Mar-07,,7.5,1673759.9,0.09,,,,,,,,,,,2297796.865,0.061641474,6.942,2.972,
Apr-07,,7.5,1730752,0.113,,,,,,,,,,,,,,2.921,
May-07,,7.5,1636150,0.018,,,,,,,,,,,,,,3.031,5.967
Jun-07,,7.5,1622570,0.024,,,,,,,,,,,2484417.016,0.068422121,,,
Jul-07,,6,1631420.5,0.012,,,,,,,,,,,,,,3.551,
Aug-07,,6,1643307.5,0.029,,,,,,,,,,,,,7.756,3.719,
Sep-07,,6,1654402,0.036,,,,,,,,,,,2362773.255,0.065467646,,3.764,
Oct-07,,5.75,1712635,0.028,,,,,,,,,,,,,7.113,3.758,
Nov-07,,5.5,1802625,0.072,,,,,,,,,,,,,,3.689,
Dec-07,,5.25,1856706,0.095,,,,,,,,,,,2698252.114,0.065022605,,,
Jan-08,,5.25,1770899,0.052,,,,,,,,,,,,,5.843,3.673,
Feb-08,,5,1755678,0.057,,,,,,,,,,,,,,,
Mar-08,,5,1845532,0.103,,,7.37,3.12,4.02,7.89,3.34,4.33,,,2393607.289,0.041696647,7.227,,6.568
Apr-08,,5,1864329,0.077,,,,,,,,,,,,,,,
May-08,,5,1935637,0.183,,,,,,,,,,,,,,,
Jun-08,,5.25,2014660,0.242,,,7.11,2.99,3.94,7.65,3.22,4.24,,,2602999.343,0.047730444,,,
Jul-08,,5.75,2021074,0.239,,,,,,,,,,,,,,5.699,
Aug-08,,6,2039686,0.241,,,,,,,,,,,,,,,7.099
Sep-08,,6,2052889,0.241,,,7.27,3.03,4.04,7.79,3.26,4.34,,,2491195.64,0.054352395,,,7.086
Oct-08,,6,2137634,0.248,,,,,,,,,,,,,,,
Nov-08,,6,2214657,0.229,,,,,,,,,,,,,8.755,,7.601
Dec-08,,5.5,2181117,0.175,,,7.23,3.01,4.07,7.69,3.2,4.35,,,2783075.257,0.03143633,,6.122,
Jan-09,,5,2103365,0.188,,,,,,,,,,,,,,4.647,
Feb-09,,5,2151150,0.225,,,,,,,,,,,,,7.685,,
Mar-09,,4.75,2229161,0.208,,,7.56,3.03,4.38,7.96,3.21,4.62,,,2420350.057,0.01117258,,4.408,
Apr-09,,4.5,2114625,0.134,,,,,,,,,,,,,7.927,4.32,6.268
May-09,,4.25,2132244,0.102,,,,,,,,,,,,,,4.294,6.178
Jun-09,,4.25,2237929,0.111,,,7.4,2.85,4.41,7.78,3.02,4.64,,,2652251.487,0.018921305,8,4.437,
Jul-09,,4,2080058,0.029,,,,,,,,,,,,,,4.173,6.093
Aug-09,,4,2103281,0.031,,,,,,,,,,,,,7.774,3.948,
Sep-09,,4,2178286,0.061,,,7.24,2.72,4.41,7.63,2.88,4.65,,,2514310.803,0.009278743,,3.992,6.279
Oct-09,,4,2192635,0.026,,,,,,,,,,,,,,3.873,
Nov-09,,4,2272685,0.026,,,,,,,,,,,,,,3.809,
Dec-09,,4,2378894,0.091,,,6.55,2.37,4.11,7.04,2.58,4.4,,,2832720.67,0.017838329,,3.887,
Jan-10,,4,2249426,0.069,,,,,,,,,,,,,,3.906,6.233
Feb-10,,4,2278295,0.059,,,,,,,,,,,,,7.83,3.928,
Mar-10,,4,2208585,-0.009,,,6.55,2.25,4.21,7.05,2.46,4.51,,,2616890.924,0.081203488,,3.88,6.09
Apr-10,,4,2245408,0.062,,,,,,,,,,,,,7.831,3.843,
May-10,,4,2296500,0.077,,,,,,,,,,,,,,3.852,6.336
Jun-10,,4,2360489,0.055,,,6.4,2.18,4.15,6.9,2.38,4.45,,,2863766.596,0.079749266,7.643,3.923,
Jul-10,,4,2264890,0.089,,,,,,,,,,,,,,3.971,
Aug-10,,4,2309970,0.098,,,,,,,,,,,,,7.368,3.951,
Sep-10,,4,2399624,0.102,,,6.29,2.1,4.12,6.81,2.31,4.44,,,2692051.54,0.070691633,6.149,3.967,
Oct-10,,4,2391327,0.091,,,,,,,,,,,,,,3.738,5.007
Nov-10,,4,2507678,0.103,,,,,,,,,,,,,5.919,2.44,4.571
Dec-10,,4,2590956,0.089,,,6.13,1.94,4.08,6.65,2.15,4.39,,,3011151.937,0.062989362,,0.775,
Jan-11,,4,2527665,0.124,,,,,,,,,,,,,,0.7,4.674
Feb-11,,4,2588348,0.136,,,,,,,,,,,,,,1.655,
Mar-11,,4.25,2578921.707,0.168,,,5.6,1.92,3.76,5.99,2.14,4,,,2743208.698,0.048270172,7.367,1.076,
Apr-11,,4.25,2650103.071,0.18,,,,,,,,,,,,,6.445,0.79,
May-11,,4.5,2742062.295,0.194,,,,,,,,,,,,,,1.096,
Jun-11,,4.5,2846216.435,0.206,,,5.45,1.86,3.68,6.02,2.08,4.04,,,2965725.983,0.035603246,6.436,2.684,
Jul-11,,4.5,2799194.097,0.236,,,,,,,,,,,,,,2.404,
Aug-11,,4.5,2882186.656,0.248,,,,,,,,,,,,,5.896,1.435,
Sep-11,,4.5,2853834.026,0.189,,,5.52,1.91,3.72,5.87,2.1,3.94,,,2773776.253,0.030357782,5.485,0.484,
Oct-11,,4.5,2896011.633,0.211,,,,,,,,,,,,,5.308,,
Nov-11,,4.5,2992373.536,0.193,,,,,,,,,,,,,5.657,0.944,
Dec-11,,4.5,3014934.836,0.164,,,5.13,1.82,3.45,5.6,1.99,3.76,,,3132649.459,0.040349184,,1.556,
