,policy,loans_gth,yields,cof,nim,deposit,deposit_gth,gdp_gth,t3m,t5yr,t10yr
1Q01,10,,,,,,,0.024141366,10.2056,13.85175,14.6143
2Q01,9,,,,,,,0.032681847,9.826169231,14.41110769,15.1046
3Q01,9,,,,,,,0.031104467,9.727861538,15.09563077,15.60435385
4Q01,7.75,,,,,,,0.033485703,10.01256061,15.34368182,16.31621212
1Q02,7,,,,,,,0.038765413,7.491890625,13.03667188,14.351875
2Q02,7,,,,,,,0.036601826,5.100646154,12.12783077,13.38123077
3Q02,7,,,,,,,0.026769631,5.392636364,11.69742424,12.64865152
4Q02,7,0.023889544,,,,,,0.045651174,5.644772727,11.23930303,12.49366667
1Q03,7,0.031790896,,,,,,0.046184783,6.633625,11.8216875,12.84679688
2Q03,7,0.050749025,,,,,,0.043889742,7.356230769,11.45883077,12.32815385
3Q03,6.75,0.038984343,,,,,,0.055219087,6.239833333,10.61283333,11.65515152
4Q03,6.75,0.038448617,,,,,,0.05736621,6.505136364,10.61640909,11.47290909
1Q04,6.75,0.005376338,,,,,,0.07176263,7.035123077,11.52343077,12.20610769
2Q04,6.75,0.037693794,,,,,,0.074929075,7.773553846,11.7036,12.49629231
3Q04,6.75,0.018724262,,,,,,0.062532482,7.903863636,12.17719697,13.18937879
4Q04,6.75,0.025677894,,,,,,0.055063091,8.284530303,12.56277273,13.65287879
1Q05,6.75,0.053661549,,,,,,0.050205802,7.2438125,11.63575,12.71979688
2Q05,7,0.06372552,,,,,,0.05657731,6.573307692,11.19741538,12.0988
3Q05,7.25,0.005298063,,,,,,0.04379522,6.447893939,10.95236364,12.16990909
4Q05,7.5,0.008818645,,,,,,0.047244005,6.362169231,10.37401538,11.30875385
1Q06,7.5,-0.005045961,,,,,,0.045019336,6.033846154,8.527338462,9.286723077
2Q06,7.5,-0.005971058,,,,,,0.059190699,6.338353846,8.469246154,9.269169231
3Q06,7.5,0.060926708,,,,,,0.047029605,6.6626,8.577338462,9.3418
4Q06,7.5,0.101260559,,,,,,0.060123464,5.757323077,6.742230769,7.181092308
1Q07,7.5,0.089869295,,,,,,0.061641474,4.229046154,6.004184615,6.880876923
2Q07,7.5,0.024432081,,,,,,0.068422121,4.642969231,6.337630769,7.241892308
3Q07,6,0.035888709,,,,,,0.065467646,4.452984615,7.165846154,7.590861538
4Q07,5.25,0.095216538,,,,,,0.065022605,4.18869697,6.461863636,6.973424242
1Q08,5,0.102626488,7.37,3.12,4.02,,,0.041696647,4.520861538,6.291030769,6.746507692
2Q08,5.25,0.24164751,7.11,2.99,3.94,,,0.047730444,5.675338462,8.226,8.717153846
3Q08,6,0.240864675,7.27,3.03,4.04,,,0.054352395,6.3285,8.14030303,8.755666667
4Q08,5.5,0.174723947,7.23,3.01,4.07,,,0.03143633,6.516515152,7.939939394,8.761590909
1Q09,4.75,0.207869059,7.56,3.03,4.38,,,0.01117258,4.938828125,6.474375,7.813171875
2Q09,4.25,0.110822173,7.4,2.85,4.41,,,0.018921305,4.569507692,6.463861538,8.056707692
3Q09,4,0.061083186,7.24,2.72,4.41,,,0.009278743,4.276712121,6.355727273,8.023393939
4Q09,4,0.090676933,6.55,2.37,4.11,,,0.017838329,4.130454545,6.379863636,7.942106061
1Q10,4,-0.009230379,6.55,2.25,4.21,,,0.081203488,4.1174375,6.370609375,8.0573125
2Q10,4,0.054764919,6.4,2.18,4.15,,,0.079749266,4.151953846,6.473923077,8.033169231
3Q10,4,0.101611083,6.29,2.1,4.12,,,0.070691633,4.203984848,5.952015152,7.127909091
4Q10,4,0.089143106,6.13,1.94,4.08,,,0.062989362,2.705636364,4.992848485,5.99630303
1Q11,4.25,0.167680532,5.6,1.92,3.76,,,0.048270172,2.206921875,5.97846875,7.148328125
2Q11,4.5,0.205774073,5.45,1.86,3.68,,,0.035603246,1.970215385,5.618184615,6.640369231
3Q11,4.5,0.189283832,5.52,1.91,3.72,,,0.030357782,2.083045455,4.938318182,6.137742424
4Q11,4.5,0.163637992,5.13,1.82,3.45,,,0.040349184,1.862553846,5.170723077,5.871430769
1Q12,4,0.177437372,5.24,1.88,3.53,4556.127,,0.06040021,2.123769231,4.901876923,5.412261538
2Q12,4,0.122045172,5.03,1.78,3.42,4734.381,,0.062193359,2.454384615,5.0504,5.894292308
3Q12,3.75,0.142277553,4.93,1.74,3.38,4748.593,,0.073995161,1.749030769,4.780646154,5.176969231
4Q12,3.5,0.154392564,4.72,1.61,3.27,5097.472,,0.078438695,0.675515152,4.35819697,4.868954545
1Q13,3.5,0.147035687,4.74,1.62,3.3,5080.146,0.115014134,0.075931294,0.378015625,3.601921875,4.06221875
2Q13,3.5,0.129526125,4.48,1.44,3.19,5645.386,0.192423254,0.075124261,1.144876923,2.950184615,3.5076
3Q13,3.5,0.149143639,4.28,1.28,3.15,6143.237,0.293696259,0.067089615,1.262030303,3.183878788,3.853772727
4Q13,3.5,0.163096867,4.01,1.09,3.03,6837.526,0.341356264,0.053512482,0.397560606,3.301348485,3.719954545
1Q14,3.5,0.182937146,4.09,1.03,3.17,6948.007,0.367678606,0.056988262,1.22990625,4.003546875,4.310125
2Q14,3.5,0.186781451,4.06,0.96,3.19,7089.172,0.255746197,0.06936486,1.416384615,3.903015385,4.2896
3Q14,4,0.194781036,4.01,0.95,3.15,7206.07,0.173008627,0.059350937,1.489242424,4.121363636,4.291151515
4Q14,4,0.191258282,3.8,0.9,2.99,7680.627,0.123304979,0.067276076,1.767606061,3.887515152,4.251969697
1Q15,4,0.157181475,3.87,0.93,3.02,7667.677,0.103579343,0.052494955,2.13325,3.636,4.09275
2Q15,4,0.141637166,3.88,0.97,3.01,7720.193,0.089011947,0.063987781,2.1554,3.513276923,4.296369231
3Q15,4,0.12444879,3.9,0.98,3.02,7883.843,0.094055845,0.065874002,1.782181818,3.648893939,4.171348485
4Q15,4,0.127238977,3.81,0.95,2.94,8295.107,0.080003885,0.070451696,1.915545455,3.796590909,3.951848485
1Q16,4,0.134625429,3.912,0.987,3.022,8455.575,0.102755763,0.069186069,1.790984615,4.014553846,4.207615385
2Q16,3,0.160982,3.922,0.99,3.033,8681.089,0.124465282,0.074395146,1.788,3.270692308,4.5098
