,gdp,gdp_gth,policy
3/31/1986,1016812.023,0.062,12.000
4/30/1986,,,6.000
5/31/1986,,,15.000
6/30/1986,1102845.632,2.827,15.000
7/31/1986,,,5.000
8/31/1986,,,9.000
9/30/1986,1014292.192,7.757,12.000
10/31/1986,,,5.000
11/30/1986,,,6.000
12/31/1986,1165002.254,3.725,5.000
1/31/1987,,,6.000
2/28/1987,,,15.000
3/31/1987,1049992.814,3.263217749,5.000
4/30/1987,,,6.000
5/31/1987,,,8.000
6/30/1987,1144410.404,3.76886582,7.000
7/31/1987,,,5.000
8/31/1987,,,5.000
9/30/1987,1080960.033,6.57284371,5.000
10/31/1987,,,8.250
11/30/1987,,,5.000
12/31/1987,1211100.960,3.956962776,13.000
1/31/1988,,,12.000
2/29/1988,,,9.000
3/31/1988,1110898.999,5.800628772,9.000
4/30/1988,,,5.000
5/31/1988,,,5.000
6/30/1988,1171082.478,2.330638903,5.000
7/31/1988,,,7.000
8/31/1988,,,10.000
9/30/1988,1148588.131,6.256299544,5.000
10/31/1988,,,7.500
11/30/1988,,,22.000
12/31/1988,1356350.020,11.9931422,5.000
1/31/1989,,,12.000
2/28/1989,,,14.000
3/31/1989,1182521.980,6.447299101,13.500
4/30/1989,,,13.750
5/31/1989,,,10.000
6/30/1989,1233224.959,5.306413666,12.500
7/31/1989,,,12.500
8/31/1989,,,14.000
9/30/1989,1211700.242,5.494755656,14.500
10/31/1989,,,14.500
11/30/1989,,,27.500
12/31/1989,1455491.641,7.309442229,8.000
1/31/1990,,,10.000
2/28/1990,,,10.000
3/31/1990,1243019.240,5.115952294,10.000
4/30/1990,,,10.000
5/31/1990,,,7.563
6/30/1990,1276754.837,3.529759714,7.563
7/31/1990,,,7.563
8/31/1990,,,4.125
9/30/1990,1257010.371,3.739384354,11.000
10/31/1990,,,21.563
11/30/1990,,,7.908
12/31/1990,1462844.732,0.505196394,7.908
1/31/1991,,,7.908
2/28/1991,,,19.308
3/31/1991,1244652.417,0.131387857,8.000
4/30/1991,,,7.000
5/31/1991,,,5.500
6/30/1991,1262124.778,-1.145878478,4.500
7/31/1991,,,5.000
8/31/1991,,,5.386
9/30/1991,1233097.822,-1.90233504,13.500
10/31/1991,,,16.500
11/30/1991,,,16.500
12/31/1991,1476888.942,0.960061514,5.000
1/31/1992,,,4.500
2/29/1992,,,6.000
3/31/1992,1271890.911,2.188441884,4.500
4/30/1992,,,4.500
5/31/1992,,,5.000
6/30/1992,1259193.144,-0.232277653,6.000
7/31/1992,,,7.000
8/31/1992,,,10.000
9/30/1992,1237813.310,0.382409862,14.000
10/31/1992,,,15.500
11/30/1992,,,14.250
12/31/1992,1469653.315,-0.489923507,13.500
1/31/1993,,,13.000
2/28/1993,,,12.813
3/31/1993,1283261.205,0.893967697,12.000
4/30/1993,,,11.500
5/31/1993,,,10.563
6/30/1993,1291695.470,2.581202568,9.500
7/31/1993,,,9.750
8/31/1993,,,9.125
9/30/1993,1270449.961,2.636637578,13.000
10/31/1993,,,11.000
11/30/1993,,,10.938
12/31/1993,1507443.458,2.571364404,12.500
1/31/1994,,,13.000
2/28/1994,,,12.500
3/31/1994,1328938.788,3.559492246,12.000
4/30/1994,,,12.500
5/31/1994,,,12.500
6/30/1994,1352499.401,4.707296187,12.000
7/31/1994,,,11.500
8/31/1994,,,11.000
9/30/1994,1336680.995,5.21319503,11.000
10/31/1994,,,9.200
11/30/1994,,,8.000
12/31/1994,1568846.689,4.073335613,8.500
1/31/1995,,,8.500
2/28/1995,,,8.500
3/31/1995,1392448.474,4.778977468,9.000
4/30/1995,,,25.000
5/31/1995,,,12.000
6/30/1995,1409521.454,4.216050107,11.000
7/31/1995,,,9.500
8/31/1995,,,8.750
9/30/1995,1417167.310,6.021355508,7.250
10/31/1995,,,7.500
11/30/1995,,,8.500
12/31/1995,1626238.385,3.658209367,9.125
1/31/1996,,,14.000
2/29/1996,,,14.000
3/31/1996,1464530.753,5.176656868,13.875
4/30/1996,,,14.000
5/31/1996,,,13.750
6/30/1996,1503061.589,6.636304438,12.688
7/31/1996,,,12.000
8/31/1996,,,11.875
9/30/1996,1503253.171,6.074502293,11.000
10/31/1996,,,10.250
11/30/1996,,,11.000
12/31/1996,1717089.456,5.58657769,11.000
1/31/1997,,,10.750
2/28/1997,,,10.750
3/31/1997,1539321.159,5.106782881,10.500
4/30/1997,,,10.500
5/31/1997,,,9.900
6/30/1997,1593749.807,6.033566363,10.250
7/31/1997,,,16.000
8/31/1997,,,15.000
9/30/1997,1573879.492,4.698231955,20.000
10/31/1997,,,12.000
11/30/1997,,,12.000
12/31/1997,1801916.293,4.940152429,12.000
1/31/1998,,,12.000
2/28/1998,,,11.000
3/31/1998,1567553.343,1.834067135,14.000
4/30/1998,,,13.000
5/31/1998,,,13.000
6/30/1998,1580092.866,-0.856906215,13.500
7/31/1998,,,13.125
8/31/1998,,,13.125
9/30/1998,1579892.317,0.382038505,13.000
10/31/1998,,,16.000
11/30/1998,,,16.000
12/31/1998,1747866.753,-2.999558872,13.750
1/31/1999,,,13.500
2/28/1999,,,13.375
3/31/1999,1581132.243,0.866248061,12.875
4/30/1999,,,12.500
5/31/1999,,,11.875
6/30/1999,1634431.656,3.438961792,10.375
7/31/1999,,,9.875
8/31/1999,,,9.125
9/30/1999,1639984.852,3.803584223,9.000
10/31/1999,,,9.000
11/30/1999,,,9.000
12/31/1999,1836552.804,5.073959508,9.000
1/31/2000,,,8.750
2/29/2000,,,8.750
