date,eps,rr_rate,pb
1995-06,5.144,8.75,
1995-09,5.27,8.5,
1995-12,5.332,14,
1996-03,5.296,13.75,
1996-06,5.575,11.875,
1996-09,5.591,11,
1996-12,5.606,10.75,
1997-03,5.624,9.9,
1997-06,6.961,15,
1997-09,6.992,12,
1997-12,7.041,11,
1998-03,7.037,13,
1998-06,6.18,13.125,
1998-09,6.043,16,
1998-12,6.413,13.375,
1999-03,6.237,11.875,
1999-06,2.042,9.125,
1999-09,2.102,9,
1999-12,0.304,8.75,
2000-03,0.318,8.75,
2000-06,4.131,10,
2000-09,-0.516,11,
2000-12,-3.634,13.5,
2001-03,-3.63,10,
2001-06,2.027,9,
2001-09,0.175,9,
2001-12,0.153,7.75,
2002-03,0.154,7,
2002-06,1.215,7,
2002-09,2.532,7,
2002-12,2.533,7,
2003-03,2.536,7,
2003-06,3.248,7,
2003-09,3.302,6.75,
2003-12,3.308,6.75,
2004-03,3.332,6.75,
2004-06,3.947,6.75,
2004-09,4.062,6.75,
2004-12,4.06,6.75,
2005-03,4.097,6.75,
2005-06,4.835,7,
2005-09,5.051,7.25,1.428370062
2005-12,5.053,7.5,1.432683094
2006-03,5.053,7.5,1.93270498
2006-06,5.729,7.5,1.564217444
2006-09,6.281,7.5,1.879248397
2006-12,6.281,7.5,2.061233864
2007-03,6.178,7.5,2.354255481
2007-06,7.44,7.5,2.829527913
2007-09,7.695,6,2.584650168
2007-12,7.695,5.25,2.511899019
2008-03,7.513,5,1.784066899
2008-06,8.017,5.25,1.468649267
2008-09,8.444,6,1.603242396
2008-12,8.444,5.5,1.340740648
2009-03,8.038,4.75,1.236850008
2009-06,5.713,4.25,1.592710231
2009-09,5.316,4,1.8820772
2009-12,5.851,4,1.924171414
2010-03,5.858,4,1.911233795
2010-06,6.019,4,2.028664941
2010-09,6.117,4,2.458868276
2010-12,6.146,4,2.305063017
2011-03,6.194,4.25,2.001051286
2011-06,8.213,4.5,2.059237607
2011-09,7.992,4.5,2.011608411
2011-12,8.22,4.5,2.110544391
2012-03,7.816,4,2.474907289
2012-06,8.6,4,2.457635035
2012-09,8.821,3.75,2.574954723
2012-12,8.635,3.5,2.949214846
2013-03,8.63,3.5,3.249359806
2013-06,10.64,3.5,2.679222019
2013-09,10.907,3.5,2.426054093
2013-12,10.899,3.5,2.191201536
2014-03,10.887,3.5,2.255542331
2014-06,13.56,3.5,2.282194021
2014-09,13.701,4,2.521754732
2014-12,13.394,4,2.472683516
2015-03,13.374,4,2.494302149
2015-06,14.522,4,2.350402457
2015-09,14.429,4,2.232508499
2015-12,14.489,4,2.258925863
2016-03,14.391,4,2.084146791
2016-06,16.022,3,2.251893445
2016-09,16.555,3,1.986458065
2016-12,19.183,3,1.766915239
2017-03,19.189,3,1.697431139
2017-06,21.553,3,1.749295193
2017-09,21.466,3,1.832664986
2017-12,21.366,3,2.052229059
2018-03,21.367,3,1.672922308
2018-06,21.805,3.5,1.47293373
2018-09,21.655,4.5,1.412274748
2018-12,21.655,4.75,1.469048038
2019-03,21.964,4.75,1.357536928
2019-06,23.23,4.5,1.338189623
2019-09,22.76,4,1.296462465
2019-12,24.062,4,1.309916235
2020-03,24.061,3.25,0.782769705
