date,real_gdp,nom_gdp,loans,deposits,ipi_vol,ipi_val,pmi,gdp_yy,loans_yy,rr_rate,olfacility
1997-01,,,1237287,1294703.5,,,,,,10.5,
1997-02,,,1264241,1315544.3,,,,,,10.5,
1997-03,1539321.16,636624.9867,1284591,1341784.8,,,,,,9.9,
1997-04,,,1326161,1341050.1,,,,,,10.25,
1997-05,,,1361678,1364119.7,,,,,,16,
1997-06,1593749.81,665181.7604,1418953,1411018,,,,,,15,
1997-07,,,1437033,1478025.6,,,,,,20,
1997-08,,,1405373,1490426.7,,,,,,12,
1997-09,1573879.49,678133.4885,1499248,1546017.7,,,,,,12,
1997-10,,,1490497,1550199.9,,,,,,12,
1997-11,,,1478187,1527915.5,,,,,,12,
1997-12,1801916.29,793434.865,1573140,1630876.6,,,,,,11,
1998-01,,,1578816,1641193.2,,,,,0.276030541,14,
1998-02,,,1527364,1583083.8,,,,,0.208127248,13,
1998-03,1567553.34,705979.2541,1517632,1589803.2,,,,0.018340671,0.181412605,13,
1998-04,,,1528545,1599747.3,,,,,0.152608922,13.5,
1998-05,,,1517641,1593690,,,,,0.114537358,13.125,
1998-06,1580092.87,738060.491,1595372,1670678,,,,-0.008569062,0.124330404,13.125,
1998-07,,,1555647,1664193.1,,,,,0.082540902,13,
1998-08,,,1581574,1696496.5,,,,,0.125376679,16,
1998-09,1579892.32,748152.0215,1586250,1701821.1,,,,0.003820385,0.058030426,16,
1998-10,,,1520243,1666606.9,,,,,0.019957102,13.75,
1998-11,,,1511851,1666926.3,,,,,0.022773844,13.5,
1998-12,1747866.75,854030.339,1542487,1719020,,,,-0.029995589,-0.019485233,13.375,
1999-01,,,1488227,1701935.5,,,,,-0.057377807,12.875,
1999-02,,,1496584,1728702.5,,,,,-0.020152367,12.5,
1999-03,1581132.24,767404.6412,1484465,1724317.9,,,,0.008662481,-0.021854442,11.875,
1999-04,,,1465178,1715757.1,,,,,-0.041455763,10.375,
1999-05,,,1468750,1738644.3,,,,,-0.032215129,9.875,
1999-06,1634431.66,810836.2669,1505581,1750293.2,,,,0.034389618,-0.056282171,9.125,
1999-07,,,1472306,1762554.4,,,,,-0.053573208,9,
1999-08,,,1504437,1789022.2,,,,,-0.048772299,9,
1999-09,1639984.85,825522.5447,1557117,1815087.7,,,,0.038035842,-0.018365957,9,
1999-10,,,1500409,1778613.6,,,,,-0.013046598,9,
1999-11,,,1552097,1840028.9,,,,,0.026620348,8.75,
1999-12,1836552.80,943823.7373,1582894,1886845.2,,,,0.050739595,0.026196007,8.75,
2000-01,,,1512969,1842758,,,,,0.016625152,8.75,
2000-02,,,1509492,1840088.4,,,,,0.008624975,8.75,
2000-03,1653296.01,850395.6103,1529103,1867990.1,,,,0.045640566,0.030070093,8.75,
2000-04,,,1505658,1869683.9,,,,,0.027628042,8.75,
2000-05,,,1516312,1885669.5,,,,,0.032382638,10,
2000-06,1729789.41,904732.1638,1505104,1912799,,,,0.058343066,-0.000316821,10,
2000-07,,,1525855,1917502.8,,,,,0.036370836,10,
2000-08,,,1553402,1927965.3,,,,,0.032547059,10,
2000-09,1709412.90,913643.935,1567712,1952891.7,,,,0.042334568,0.006804241,11,
