,lt_bond,rrr
01-1986,9.19,12
02-1986,8.7,6
03-1986,7.78,15
04-1986,7.3,15
05-1986,7.71,5
06-1986,7.8,9
07-1986,7.3,12
08-1986,7.17,5
09-1986,7.45,6
10-1986,7.43,5
11-1986,7.25,6
12-1986,7.11,15
01-1987,7.08,5
02-1987,7.25,6
03-1987,7.25,8
04-1987,8.02,7
05-1987,8.61,5
06-1987,8.4,5
07-1987,8.45,5
08-1987,8.76,8.25
09-1987,9.42,5
10-1987,9.52,13
11-1987,8.86,12
12-1987,8.99,9
01-1988,8.67,9
02-1988,8.21,5
03-1988,8.37,5
04-1988,8.72,5
05-1988,9.09,7
06-1988,8.92,10
07-1988,9.06,5
08-1988,9.26,7.5
09-1988,8.98,22
10-1988,8.8,5
11-1988,8.96,12
12-1988,9.11,14
01-1989,9.1,13.5
02-1989,9.17,13.75
03-1989,9.36,10
04-1989,9.18,12.5
05-1989,8.86,12.5
06-1989,8.28,14
07-1989,8.02,14.5
08-1989,8.11,14.5
09-1989,8.19,27.5
10-1989,8.01,8
11-1989,7.87,10
12-1989,7.84,10
01-1990,8.21,10
02-1990,8.47,10
03-1990,8.59,7.563
04-1990,8.79,7.563
05-1990,8.76,7.563
06-1990,8.48,4.125
07-1990,8.47,11
08-1990,8.75,21.563
09-1990,8.89,7.908
10-1990,8.72,7.908
11-1990,8.39,7.908
12-1990,8.08,19.308
01-1991,8.09,8
02-1991,7.85,7
03-1991,8.11,5.5
04-1991,8.04,4.5
05-1991,8.07,5
06-1991,8.28,5.386
07-1991,8.27,13.5
08-1991,7.9,16.5
09-1991,7.65,16.5
10-1991,7.53,5
11-1991,7.42,4.5
12-1991,7.09,6
01-1992,7.03,4.5
02-1992,7.34,4.5
03-1992,7.54,5
04-1992,7.48,6
05-1992,7.39,7
06-1992,7.26,10
07-1992,6.84,14
08-1992,6.59,15.5
09-1992,6.42,14.25
10-1992,6.59,13.5
11-1992,6.87,13
12-1992,6.77,12.813
01-1993,6.6,12
02-1993,6.26,11.5
03-1993,5.98,10.563
04-1993,5.97,9.5
05-1993,6.04,9.75
06-1993,5.96,9.125
07-1993,5.81,13
08-1993,5.68,11
09-1993,5.36,10.938
10-1993,5.33,12.5
11-1993,5.72,13
12-1993,5.77,12.5
01-1994,5.75,12
02-1994,5.97,12.5
03-1994,6.48,12.5
04-1994,6.97,12
05-1994,7.18,11.5
06-1994,7.1,11
07-1994,7.3,11
08-1994,7.24,9.2
09-1994,7.46,8
10-1994,7.74,8.5
11-1994,7.96,8.5
12-1994,7.81,8.5
01-1995,7.78,9
02-1995,7.47,25
03-1995,7.2,12
04-1995,7.06,11
05-1995,6.63,9.5
06-1995,6.17,8.75
07-1995,6.28,7.25
08-1995,6.49,7.5
09-1995,6.2,8.5
10-1995,6.04,9.125
11-1995,5.93,14
12-1995,5.71,14
01-1996,5.65,13.875
02-1996,5.81,14
03-1996,6.27,13.75
04-1996,6.51,12.688
05-1996,6.74,12
06-1996,6.91,11.875
07-1996,6.87,11
08-1996,6.64,10.25
09-1996,6.83,11
10-1996,6.53,11
11-1996,6.2,10.75
12-1996,6.3,10.75
01-1997,6.58,10.5
02-1997,6.42,10.5
03-1997,6.69,9.9
04-1997,6.89,10.25
05-1997,6.71,16
06-1997,6.49,15
07-1997,6.22,20
